period,actual_price,predicted_price
2024-12-01,12.23,11.929354227857061
2024-11-01,12.12,12.341600852048487
2024-10-01,12.72,12.299398505201793
2024-09-01,12.97,12.2571961583551
2024-08-01,13.33,13.10455039382191
2024-07-01,13.48,13.062348046975217
2024-06-01,13.33,13.003403732418974
2024-05-01,13.05,12.139660518326764
2024-04-01,12.32,12.12321504487943
2024-03-01,11.95,12.089169041275909
2024-02-01,11.94,11.597050535064682
2024-01-01,11.85,11.495607379399644
